persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score,difficulte_type,difficulte_date,difficulte_source_url,risque_trop_tard
B,INSTITUT DE FORMATION ET D ENSEIGNEMENT DU YOGA (IFEY),INSTITUT DE FORMATION ET D ENSEIGNEMENT DU YOGA,912638814,91263881400018,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/912638814,CASTELNAU-LE-LEZ,34,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/912638814,,inconnu,inconnu,,Layla Bennis,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 912638814),,50,Création 2022 (élargissement) | Hors IDF (34) | Dirigeant identifié: Liquidateur,liquidation judiciaire (entreprise fermée),2023-08-31,https://annuaire-entreprises.data.gouv.fr/entreprise/912638814,élevé - entreprise fermée administrativement
B,RHONE SOLUTION FORMATION (RSF),RHONE SOLUTION FORMATION,909630196,90963019600014,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/909630196,LYON,69,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/909630196,,inconnu,inconnu,,Olivier Martin,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 909630196),,50,Création 2022 (élargissement) | Hors IDF (69) | Dirigeant identifié: Président de SAS,liquidation judiciaire (entreprise fermée),2023-12-15,https://annuaire-entreprises.data.gouv.fr/entreprise/909630196,élevé - entreprise fermée administrativement
B,C-FORMATION,C-FORMATION,890352503,89035250300019,2020,https://annuaire-entreprises.data.gouv.fr/entreprise/890352503,SAILLY-LEZ-LANNOY,59,Hauts-de-France,https://annuaire-entreprises.data.gouv.fr/entreprise/890352503,,inconnu,inconnu,,Celine Duvet (dangremont),Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 890352503),"Création 2020 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (59) | Dirigeant identifié: Liquidateur | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2021-07-31,https://annuaire-entreprises.data.gouv.fr/entreprise/890352503,élevé - entreprise fermée administrativement
B,FORMATION DU CHEVREUL,FORMATION DU CHEVREUL,898680459,89868045900010,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/898680459,DIJON,21,Bourgogne-Franche-Comté,https://annuaire-entreprises.data.gouv.fr/entreprise/898680459,,inconnu,inconnu,,Maxim Monsonego edery,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 898680459),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (21) | Dirigeant identifié: Gérant | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2024-05-05,https://annuaire-entreprises.data.gouv.fr/entreprise/898680459,élevé - entreprise fermée administrativement
B,WALINSKI FORMATION,WALINSKI FORMATION,894335629,89433562900016,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/894335629,ROCHEFORT-DU-GARD,30,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/894335629,,inconnu,inconnu,,Eric Walinski,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 894335629),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (30) | Dirigeant identifié: Président de SAS | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2022-12-12,https://annuaire-entreprises.data.gouv.fr/entreprise/894335629,élevé - entreprise fermée administrativement
B,GLOBAL FORMATION,GLOBAL FORMATION,895079986,89507998600017,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/895079986,COLOMIERS,31,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/895079986,,inconnu,inconnu,,Mourad Loghmari,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 895079986),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (31) | Dirigeant identifié: Président de SAS | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2025-10-27,https://annuaire-entreprises.data.gouv.fr/entreprise/895079986,élevé - entreprise fermée administrativement
B,NEGO FORMATION,NEGO FORMATION,892376211,89237621100017,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/892376211,TOULOUSE,31,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/892376211,,inconnu,inconnu,,Pascal Clermont,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 892376211),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (31) | Dirigeant identifié: Liquidateur | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2024-04-30,https://annuaire-entreprises.data.gouv.fr/entreprise/892376211,élevé - entreprise fermée administrativement
B,BSP FORMATION,BSP FORMATION,893520213,89352021300016,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/893520213,PERPIGNAN,66,Occitanie,https://annuaire-entreprises.data.gouv.fr/entreprise/893520213,,inconnu,inconnu,,Vincent Bondu,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 893520213),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (66) | Dirigeant identifié: Président de SAS | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2024-10-23,https://annuaire-entreprises.data.gouv.fr/entreprise/893520213,élevé - entreprise fermée administrativement
B,OBJECTIF FORMATION (OBJECTIF FORMATION),OBJECTIF FORMATION,901750083,90175008300015,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/901750083,AIX-EN-PROVENCE,13,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/901750083,,inconnu,inconnu,,Ali Kraichi-mekki (kraichi),Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 901750083),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (13) | Dirigeant identifié: Président de SAS | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2025-01-08,https://annuaire-entreprises.data.gouv.fr/entreprise/901750083,élevé - entreprise fermée administrativement
B,TGB FORMATION,TGB FORMATION,908649163,90864916300015,2021,https://annuaire-entreprises.data.gouv.fr/entreprise/908649163,LE PONT-DE-CLAIX,38,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/908649163,,inconnu,inconnu,,Aurelien Gervasoni,Liquidateur,,,,API recherche-entreprises.api.gouv.fr (SIREN 908649163),"Création 2021 (hors critère strict 2023+, inclus car en difficulté)",40,Hors IDF (38) | Dirigeant identifié: Liquidateur | Fiche annuaire-entreprises disponible,liquidation judiciaire (entreprise fermée),2023-12-31,https://annuaire-entreprises.data.gouv.fr/entreprise/908649163,élevé - entreprise fermée administrativement
