persona,organisation_nom,organisation_nom_legal,siren,siret,annee_creation,date_creation_source_url,adresse_ville,adresse_departement,adresse_region,site_web_url,linkedin_entreprise_url,type_structure,modalite_presume,preuve_modalite,contact_nom,contact_role,contact_linkedin_url,contact_email_public,contact_tel_public,source_contact_preuve,notes_qualite,score_fit,raisons_score
A,ADX CFA,ADX CFA,939054540,93905454000017,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/939054540,CHATEAU-GONTIER-SUR-MAYENNE,53,Pays de la Loire,https://annuaire-entreprises.data.gouv.fr/entreprise/939054540,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),,,,,,,,75,CFA identifié | Création 2024 (critère principal) | Hors IDF (53)
A,CFA ACADEMOS,CFA ACADEMOS,991360413,99136041300017,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/991360413,TOULON,83,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/991360413,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),,,,,,,,75,CFA identifié | Création 2025 (critère principal) | Hors IDF (83)
A,CFA DES ARDENNES,CFA DES ARDENNES,100019801,10001980100016,2026,https://annuaire-entreprises.data.gouv.fr/entreprise/100019801,CHARLEVILLE-MEZIERES,08,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/100019801,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),,,,,,,,75,CFA identifié | Création 2026 (critère principal) | Hors IDF (08)
A,CFA AUGUSTE PERRET,CFA AUGUSTE PERRET,930105606,93010560600022,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/930105606,SALIGNAC,04,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/930105606,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),,,,,,,,75,CFA identifié | Création 2024 (critère principal) | Hors IDF (04)
A,CFA A DOMICILE,CFA A DOMICILE,990476947,99047694700017,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/990476947,MAGNY LE DESERT,61,Normandie,https://annuaire-entreprises.data.gouv.fr/entreprise/990476947,,CFA,presentiel,Déduit du nom/type (CFA = généralement présentiel),,,,,,,,75,CFA identifié | Création 2025 (critère principal) | Hors IDF (61)
A,CENTRE DE FORMATION LAVENT (CFLA),CENTRE DE FORMATION LAVENT,908456650,90845665000013,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/908456650,COSNAC,19,Nouvelle-Aquitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/908456650,,OF,presentiel,,Alexandre Lavent,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 908456650),"Élargissement 2022 (critère initial: 2023+) | Spécialité DGEFP: Transport, manutention, magasinage | 84 stagiaires déclarés",75,Organisme de formation confirmé | Création 2022 (élargissement) | Hors IDF (19) | Confirmé base DGEFP
A,CENTRE NATIONAL DE FORMATIONS (CNF),CENTRE NATIONAL DE FORMATIONS,914847777,91484777700028,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/914847777,VILLARS,42,Auvergne-Rhône-Alpes,https://annuaire-entreprises.data.gouv.fr/entreprise/914847777,,OF,presentiel,,Senaa Benhadj mohamed,Directeur général délégué,,,,API recherche-entreprises.api.gouv.fr (SIREN 914847777),Élargissement 2022 (critère initial: 2023+) | Spécialité DGEFP: Linguistique | 227 stagiaires déclarés,75,Organisme de formation confirmé | Création 2022 (élargissement) | Hors IDF (42) | Confirmé base DGEFP
A,CENTRE DE FORMATION ET CONSEILS (CENTRE DE FORMATION ET CONSEILS) (CFC),CENTRE DE FORMATION ET CONSEILS,918045063,91804506300024,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/918045063,CHATELLERAULT,86,Nouvelle-Aquitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/918045063,,OF,presentiel,,Hanane Ben embarek (maameri),Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 918045063),"Élargissement 2022 (critère initial: 2023+) | Spécialité DGEFP: Enseignement, formation | 3 stagiaires déclarés",75,Organisme de formation confirmé | Création 2022 (élargissement) | Hors IDF (86) | Confirmé base DGEFP
A,CENTRE DE FORMATION ET PREVENTION HAAS (CFPH),CENTRE DE FORMATION ET PREVENTION HAAS,941558561,94155856100028,2025,https://annuaire-entreprises.data.gouv.fr/entreprise/941558561,SELESTAT,67,Grand Est,https://annuaire-entreprises.data.gouv.fr/entreprise/941558561,,OF,presentiel,,Julien Muller,Directeur Général,,,,API recherche-entreprises.api.gouv.fr (SIREN 941558561),Spécialité DGEFP: Formations générales | 0 stagiaires déclarés,85,Organisme de formation confirmé | Création 2025 (critère principal) | Hors IDF (67) | Confirmé base DGEFP
A,ONFIP  : ORGANISME NATIONAL DE FORMATIONS D'INTERET PUBLIC (ONFIP),ONFIP  : ORGANISME NATIONAL DE FORMATIONS D'INTERET PUBLIC,922168711,92216871100021,2022,https://annuaire-entreprises.data.gouv.fr/entreprise/922168711,FLAYOSC,83,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/922168711,,OF,inconnu,,Fabien Matras,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 922168711),"Élargissement 2022 (critère initial: 2023+) | Spécialité DGEFP: Sécurité des biens et des personnes, police, surveillance | 63 stagiaires déclarés",75,Organisme de formation confirmé | Création 2022 (élargissement) | Hors IDF (83) | Confirmé base DGEFP
A,FABRICE GALERNE (ORGANISME DE FORMATIONS),,985376060,98537606000010,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/985376060,SAINT-SYMPHORIEN,33,Nouvelle-Aquitaine,https://annuaire-entreprises.data.gouv.fr/entreprise/985376060,,OF,inconnu,,Fabrice Galerne,,,,,API recherche-entreprises.api.gouv.fr (SIREN 985376060),"Spécialité DGEFP: Enseignement, formation | 0 stagiaires déclarés",85,Organisme de formation confirmé | Création 2024 (critère principal) | Hors IDF (33) | Confirmé base DGEFP
A,LAURENT DE BALMANN (OFR ORGANISME DE FORMATION ROUTIERE),,930613955,93061395500010,2024,https://annuaire-entreprises.data.gouv.fr/entreprise/930613955,GIGNAC-LA-NERTHE,13,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/930613955,,OF,inconnu,,Laurent De balmann,,,,,API recherche-entreprises.api.gouv.fr (SIREN 930613955),Spécialité DGEFP: Autres... | 0 stagiaires déclarés,85,Organisme de formation confirmé | Création 2024 (critère principal) | Hors IDF (13) | Confirmé base DGEFP
A,FORMATION PROFESSIONNELLE 42,FORMATION PROFESSIONNELLE 42,948464599,94846459900018,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/948464599,HYERES,83,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/948464599,,OF,inconnu,,Kevin Gay,Président de SAS,,,,API recherche-entreprises.api.gouv.fr (SIREN 948464599),0 stagiaires déclarés,85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (83) | Confirmé base DGEFP
A,AIDTOI FORMATION PROFESSIONNELLE (AIDTOI FORMATION PROFESSIONNELLE),AIDTOI FORMATION PROFESSIONNELLE,949228126,94922812600015,2023,https://annuaire-entreprises.data.gouv.fr/entreprise/949228126,SAINT-PAUL-EN-FORET,83,Provence-Alpes-Côte d'Azur,https://annuaire-entreprises.data.gouv.fr/entreprise/949228126,,OF,inconnu,,Xavier Menetrier,Gérant,,,,API recherche-entreprises.api.gouv.fr (SIREN 949228126),Spécialité DGEFP: Autres... | 0 stagiaires déclarés,85,Organisme de formation confirmé | Création 2023 (critère principal) | Hors IDF (83) | Confirmé base DGEFP
